第一部类　三洞真经
序号 经目 页码
CH01 第一册目录 1-
CH0101 上清大洞真经-正统道藏洞真本文类 1-001

CH0101-0-1 上清大洞真经目录 1-002
CH0101-0-2 上清大洞真经序 1-002

卷一
CH0101-1-1 诵经玉诀 1-003

卷二
CH0101-2-1 高上虚皇君道经 1-010
CH0101-2-2 上皇玉虚君道经 1-010
CH0101-2-3 皇上玉帝君道经 1-011
CH0101-2-4 上皇先生紫晨君道经 1-012
CH0101-2-5 太微天帝君道经 1-013
CH0101-2-6 三元紫精君道经 1-014
CH0101-2-7 真阳元老玄一君道经 1-015
CH0101-2-8 上元太素三元君道经 1-015

卷三
CH0101-3-1 上清紫精三素君道经 1-017
CH0101-3-2 素灵阳安元君道经 1-017
CH0101-3-3 皇清洞真道君道经 1-018
CH0101-3-4 高上太素君道经 1-019
CH0101-3-5 皇上四老道中君道经 1-020
CH0101-3-6 玉晨太上大道君道经 1-021
CH0101-3-7 太清大道君道经 1-022
CH0101-3-8 太极大道元君道经 1-023

卷四
CH0101-4-1 皇初紫灵元君道经 1-024
CH0101-4-2 无英中真上老君道经 1-024
CH0101-4-3 中央黄老君道经 1-025
CH0101-4-4 青精上真内景君道经 1-026
CH0101-4-5 太阳九炁玉贤元君道经 1-027
CH0101-4-6 太初九素金华景元君道经 1-028
CH0101-4-7 九皇上真司命道君道经 1-029
CH0101-4-8 太皇上真玉华三元君道经 1-029

卷五
CH0101-5-01 太一上元禁君道经 1-031
CH0101-5-02 元灵黄房真晨君道经 1-031
CH0101-5-03 太极主四真人元君道经 1-032
CH0101-5-04 四斗中真七晨散华君道经 1-033
CH0101-5-05 晨中皇景元君道经 1-034
CH0101-5-06 金阙后圣太平李真天帝上晨君道经 1-035
CH0101-5-07 太虚后圣元景彭室真君道经 1-035
CH0101-5-08 太玄都九炁丈人主仙君道经 1-036
CH0101-5-09 洞清八景九玄老君道经 1-037
CH0101-5-10 东华方诸宫高晨师玉保王青童君道经 1-038

卷六



CH0101-6-1 扶桑大帝九老仙皇君道经 1-039
CH0101-6-2 小有玉真万华先生主图玉君道经 1-040
CH0101-6-3 玄州二十九真伯上帝司禁君道经 1-041
CH0101-6-4 太元晨中君峨眉洞室玉户太素君道经 1-042
CH0101-6-5 九灵真仙母青金丹皇君道经 1-043
CH0101-6-6 徊风混合帝一秘诀 1-044
CH0101-6-7 后序 1-045
CH0102 上清大洞真经玉诀音义-正统道藏洞真玉诀类 1-047

CH0102-0-1 上清大洞真经玉诀音义叙 1-047
CH0102-0-2 上清大洞真经玉诀音义 1-048
CH0102-01 高上虚皇君道经第一 1-048
CH0102-02 上皇玉虚君道经第二 1-049
CH0102-03 皇上玉帝君道经第三 1-049
CH0102-04 上皇先生紫晨君君道经第四 1-049
CH0102-05 太微天帝君道经第五 1-049
CH0102-06 三元紫精君道经第六 1-049
CH0102-07 真阳元老玄一君道经第七 1-049
CH0102-08 上元太素三元君道经第八 1-049
CH0102-09 上清紫精三素君道经第九 1-050
CH0102-10 青灵阳安元君道经第十 1-050
CH0102-11 皇清洞真道君道经第十一 1-050
CH0102-12 高上太素君道经第十二 1-050
CH0102-13 皇上四老道中君道经第十三 1-050
CH0102-14 玉晨太上大道君道经第十四 1-050
CH0102-15 太清大道君道经第十五 1-050
CH0102-16 太极大道元景君道经第十六 1-050
CH0102-17 皇初紫灵元君道经第十七 1-050
CH0102-18 无英中真上老君道经第十八 1-050
CH0102-19 中央皇老君道经第十九 1-051
CH0102-20 青精上真内景君道经第二十 1-051
CH0102-21 太阳九炁玉贤元君道经第二十一 1-051
CH0102-22 太初九素金华景元君道经第二十二 1-051
CH0102-23 九皇上真司命君道经第二十三 1-051
CH0102-24 天皇上真玉华三元君道经第二十四 1-051
CH0102-25 太一上元禁君道经第二十五 1-051
CH0102-26 元虚黄房真晨君道经第二十六 1-051
CH0102-27 太极主四真人元君道经第二十七 1-052
CH0102-28 四斗中真七晨散华君道经第二十八 1-052
CH0102-29 辰中黄景元君道经第二十九 1-052
CH0102-30 金阙后圣太平李真天帝上景君道经第三十 1-052
CH0102-31 太虚后圣无景彭室真君道经第三十一 1-052
CH0102-32 太玄都九炁丈人主仙君道经第三十二 1-052
CH0102-33 上清八皇老君道经第三十三 1-052
CH0102-34 东华方诸宫高晨师玉保王青童君道经第三十四 1-052
CH0102-35 扶桑太帝九老仙皇君道经第三十五 1-052
CH0102-36 小有玉真万华先生图王君道经第三十六 1-053
CH0102-37 玄洲二十九真伯上帝司禁君道经第三十七 1-053



CH0102-38 太元晨中君刊峨眉山中洞宫玉户太素君道经第三十八 1-053
CH0102-39 公元龟山真仙母青金丹皇后道经第三十九 1-053
CH0103 大洞玉经-正统道藏洞真本文类 1-054
CH0103 大洞玉经 1-054

大洞玉经卷上
CH0103-1-01 高上虚皇君道经第一 1-056
CH0103-1-02 上皇玉虚君道经第二 1-057
CH0103-1-03 皇上玉帝君道经第三 1-057
CH0103-1-04 上皇先生紫宸君道经第四 1-058
CH0103-1-05 太微天帝君道经第五 1-058
CH0103-1-06 三元紫精君道经第六 1-059
CH0103-1-07 真阳元老玄一君道经第七 1-059
CH0103-1-08 上元太素三元君道经第八 1-060
CH0103-1-09 上清紫精三素君道经第九 1-060
CH0103-1-10 青灵安阳元君道经第十 1-060
CH0103-1-11 皇清洞真大道君道经第十一 1-061
CH0103-1-12 高上太素君道经第十二 1-061
CH0103-1-13 皇上四老道中君道经第十三 1-061
CH0103-1-14 玉晨太上大道君道经第十四 1-062
CH0103-1-15 太清大道君道经第十五 1-062
CH0103-1-16 太极大道君道经第十六 1-063
CH0103-1-17 皇初元灵元君道经第十七 1-063
CH0103-1-18 无英中真上老君道经第十八 1-063
CH0103-1-19 中央黄老君道经第十九 1-064
CH0103-1-20 青精上真内景君道经第二十 1-064

大洞玉经卷下
CH0103-2-01 太阳九炁玉贤元君道经第二十一 1-065
CH0103-2-02 九素金华景元君道经第二十二 1-065
CH0103-2-03 九皇上真司命君道经第二十三 1-066
CH0103-2-04 天皇上真玉华三元君道经第二十四 1-066
CH0103-2-05 太一上元禁君道经第二十五 1-066
CH0103-2-06 元虚黄房真晨君道经第二十六 1-067
CH0103-2-07 太极主四真人元君道经第二十七 1-067
CH0103-2-08 四斗中真七晨散华君道经第二十八 1-068
CH0103-2-09 辰中黄景元君道经第二十九 1-068
CH0103-2-10 金阙后圣太平李真天帝上景君道经第三十 1-068
CH0103-2-11 太虚后圣元景彭室真君道经第三十一 1-069
CH0103-2-12 太玄都九炁丈人主仙君道经第三十二 1-069
CH0103-2-13 上清八皇老君道经第三十三 1-070
CH0103-2-14 东华方诸宫高晨师玉保王青童君道经第三十四 1-070
CH0103-2-15 扶桑大帝九老仙皇君道经第三十五 1-070
CH0103-2-16 小有玉真万华先生图玉君道经第三十六 1-071
CH0103-2-17 玄洲二十九真伯上帝司禁君道经第三十七 1-072
CH0103-2-18 太无晨中君刊峨眉山中洞宫玉户太素君君道经第三十八 1-072
CH0103-2-19 公元龟山九灵真仙母青金丹皇君道经第三十九 1-073
CH0103-2-20 玉清大洞内炼玉经 1-074
CH0103-2-21 大洞玉经后跋 1-075



CH0104 洞真高上玉帝大洞雌一玉检五老宝经-正统道藏正一部 1-076
CH0104-01 洞真高上玉帝大洞雌一玉检五老宝经 1-076
CH0104-02 中央黄老君所撰玉经诀 1-078
CH0104-03 九天太真道德经篇目 1-082
CH0104-04 太一帝君大回元五通上仙法 1-082
CH0104-05 太丹隐玄玉晨金华玉经八间十二愿 1-083
CH0104-06 中央黄老君大丹先进洞房内经法 1-084
CH0104-07 太素真人隐朝礼愿上仙经法 1-085
CH0104-08 太素真人教始学者辟恶梦法 1-086
CH0104-09 玉晨明镜金华洞房雌一五老宝经法 1-087
CH0104-10 太一帝君洞真玄经存五神法 1-089
CH0104-11 大洞雌一帝君呼引日月之道 1-091
CH0104-12 大洞雌一帝君变化雌雄之道 1-091
CH0104-13 五老雌一解胞胎死结上仙法 1-092
CH0104-14 大洞雌一哺养帝君太一百神上仙法 1-093
CH0104-15 大洞雌一太极帝君镇生五藏上经法 1-094
CH0104-16 大洞真经高上录中帝君九魂命五神符 1-096
CH0104-17 大洞西华玉堂仙母金丹法 1-096
CH0105 大洞金华玉经-正统道藏洞真方法类 1-097
CH0105-1 大洞金华玉经 1-097
CH0105-2 徊风大混合帝一之道存修九图 1-099
CH0105-3 大洞内法存修雌雄真一十三图 1-101
CH0106 上清九天上帝祝百神内名经-正统道藏正一部 1-102
CH0106-1 上清九天上帝祝百神内名经 1-102
CH0106-2 太上说智慧消魔唱 1-102
CH0106-3 大洞玉经食玄根之气法 1-104
CH0106-4 紫微王夫人颂 1-104
CH0107 洞真太上素灵洞元大有妙经-正统道藏正一部 1-106

CH0107-01 目录 1-106
CH0107-02 三洞混化内真变生官号宝名 1-106
CH0107-03 太上道君守三元真一经 1-110
CH0107-04 太上道君元丹上经 1-111
CH0107-05 四宫雌真一内神宝名玉诀 1-113
CH0107-06 太上大洞守一内经法 1-115
CH0107-07 太上三九素语内祝诀文 1-120
CH0107-08 太真隐朝求仙上法 1-124
CH0107-09 太上九真明科 1-124
CH0107-10 太帝君偈大有妙赞 1-129
CH0108 洞真太上道君元丹上经-正统道藏正一部 1-131

CH0108-01 洞真太上道君元丹上经 1-131
CH0108-02 洞真素灵中经 1-134
CH0108-03 洞真太上九真明科三品律 1-138
CH0108-04 玄都九真明科上品传经篇 1-138
CH0108-05 玄都九真科中品诫罪篇 1-140
CH0108-06 玄都九真明科下品赎罪篇 1-142
CH0108-07 太帝君偈赞 1-144
CH0108-08 天帝君诵 1-145



CH0108-09 太微天帝君诵 1-145
CH0108-10 后圣金阙帝君诵 1-145
CH0109 上清明堂玄丹真经-正统道藏正一部 1-146
CH0110 上清素灵上篇-正统道藏正一部 1-148
CH0111 太上九真明科-正统道藏正一部 1-152
CH0112 上清金真玉光八景飞经-正统道藏正一部 1-161
CH0113 上清太上八素真经-正统道藏洞真部玉诀类 1-171
CH0114 洞真太上八素真经服食日月皇华诀-正统道藏正一部 1-181
CH0115 洞真太上八素真经精耀三景妙诀-正统道藏正一部 1-190
CH0116 洞真太上八素真经修习功业妙诀-正统道藏正一部 1-193
CH0117 洞真太上八素真经三五行化妙诀-正统道藏正一部 1-198
CH0118 洞真太上八素真经登坛符札妙诀-正统道藏正一部 1-203
CH0119 洞真太上八素真经占候入定妙诀-正统道藏正一部 1-208
CH0120 洞真上清太微帝君步天纲飞地纪金简玉字上经-正统道藏1正-2一12部
CH0121 上清太上帝君九真中经-正统道藏正一部 1-222

上清太上帝君九真中经卷上
CH0121-1-1 太上帝君九真中经内诀 1-222
CH0121-1-2 太上帝君九真宝符文 1-225
CH0121-1-3 中央黄老君八道秘言章 1-226
