大正新脩大藏經第 54 冊 No. 2135 梵語雜名


　　No. 2135

梵語雜名

　　翻經大德兼翰林待詔光定寺歸茲國沙門　禮言集

　　睿山沙門　真源較

　　有情身分

　　天　泥𭌯又素羅　deva蒪sura

　　人　摩拏史也(二合)又娜羅　manuṣya蒪nara

　　眾　誐儞難又若曩　ganiṇaṃ蒪jana

　　肉　麼娑　maṅsa

　　皮　折[口*束*頁]麼　carmma

　　血　嚕地羅　rudhira

　　膿　布野　puya

　　筋　薩曩庾　sanayu

　　骨　阿悉地儞　asthini

　　髓　末熱𭦲　majja

　　毛　嚕(去)(引)忙　ruma

　　唾　施𭐘(二合)史也[□@審]忙　sreṣyama

　　脂　謎娜　mena

　　脈　始羅　泥茗　sirā　neme

　　糞　戍娜　śuna

　　尿　母怛羅(二合)　mutra

　　精　戍訖攞　śukra

　　面　母騫　mukhaṃ

　　頭　麼(引)薩頗　māsphā

　　頂　始囉　śira

　　額　囉邏吒　raraṭa

　　臂　部(引)喏　bhūja

　　咽　儗里幡　griva

　　喉　揭拏(入)咤　gaṇaṭṭa

　　眼　斫乞芻又泥呍嚕又阿魯者迦　cakṣunetro蒪arucaka

　　眼睫　斫乞芻鉢怛羅　cakṣupatra

　　耳　羯[口*束*頁]拏又喝叻娜又述嚕怛羅　karṇakarṇa蒪śrūtra

　　聾　阿波曳　apaye

　　鼻　竭囉(引)拏　karāṇa

　　口　歿地　mudhi

　　舌　爾賀𭌯(二合)(縛字（無可反）)　jihva

　　齒　娜多(去)(重)　data

　　牙　能瑟吒囉(三合)　daṃṣṭra

　　頂　秫遮　śuca

　　心　紇哩(二合)娜耶　hṛdaya

　　腎　物力迦　vṛka

　　胸　污若(引)　uja

　　肋　鉢[口*束*頁]室𭌯　pāraśva

　　肚　污娜(引)羅　udāra

　　脇　迦車(上)　kacha

　　脊　爾哩瑟咤　jiriṣṭa

　　肩　薩迦捺𭌯　skadava

　　腰　迦智　kaṭi

　　髁骨　嚩娑底　vasati

　　腿䏶　烏嚧　uru

　　爪　那佉　nakha

　　膝　惹拏　jaḍa

　　足　播(引)娜　pānda

　　腕　穰迦又設儞尾　jadghā蒪śanivi

　　膊　哳吒伽　caṭaga

　　胯　阿縛(入)薩多　avasata

　　股　麼虎　臂也　vahu

　　手　賀薩多(二合)末喇麼若嚕　hasta

　　手掌　迦薩多怛羅　hastatra

　　指　阿遇(上)里　aguḷli

　　胸　末喇麼又惹嚕　marma蒪jaru

　　指節　遏戍(上)里鉢羅靺多負勃嚕忙　agulipravartta

　　脣　污瑟姹　uṣṭa

　　鬚　麼輸(去)(引)　maśo

　　腿

　　膓　烏娜羅　udra

　　背　鉢叻瑟吒　pṛṣṭa

　　髮　計戍儞　keśuni

　　髮　主拏(去)　cuṇa

　　髮　𭌯(無可反)攞　vala

　　生交　央伽社多　aṅgajata

　　身　捨哩(引)囉又迦也　śarira蒪kaya

　　體　摩耶　maya

　　者　鉢捨也　paśaya

　　見　但叻瑟咤又捺羅揭史也　tṛṣṭa蒪drakaṣya

　　踝

　　命　戍尾單　jivitaṃ

　　[脟-寸+(缶-午+干)]　折日迦　cajika

　　色　路(去)(引)波　ropa

　　大　韈拏　varṇa

　　力　末麗曩　valena

　　護　娑紇唎　skṛ

　　小　韈拏攞　varṇala

　　大　摩訶　mahā

　　像　鉢羅底麼　pratima

　　長　泥(去)(引)伽　degha

　　短　賀羅薩者　hrasaca

　　同　娑四多又覩里也　turya

　　異　鉢叻他(上)迦　pṛthak

　　厚　伽曩　ghana

　　單　翳迦補咤　ekapūṭa

　　卷　吠瑟致多　veṣṭita

　　舒　鉢囉捨哩也　prasarya

　　曲　烏日樗(癡矩反)　ujiṭhu

　　正　鉢囉瑟咤　praṣṭa

　　邪　鉢闥也　paddhaya

　　高　烏遮　uca

　　凹　爾麼嚩(無可反)　jimava

　　平　娑麼(亦是等)　spa

　　凸　析柱(尼古反)攞　caṭula

　　蔓　羅儒(去)　rajo

　　薄　鉢囉舍　praśa

　　圓　鉢哩曼拏攞又嚩㗚覩攞　pṛmaṇḍalavaritura

　　滿　布喇喃　pūraṇaṃ

　　方　析覩哩罽拏又阿泥攞　caturikeṇaadela

　　廣　吠補里也　vipuriya

　　相　攞乞尖拏　lakṣaṇa

　　好　枳囉拏吠也　kiraṇaveya

　　端正　勢嚩(無可反)又鉢羅娑地迦　seva蒪prasādika

　　醜　阿勢嚩曩又訥唎縛喇喃　asevanadurvarṇaṃ

　　垢　麼(上)(引)攞　mara

　　翳　底(丁以反)若羅　tijara

　　淨　儞莾攞　jimala

　　淨　戍者又戍儞第又戍地　śuca蒪śuddhe蒪śudvi

　　無垢　尾麼攞　vimara

　　色　娜羅　彩色之類　dara

　　碧　阿迦捨　akāśa

　　青　𩕳(引)攞　naira

　　黃　辟多攞又半豆盧　mitala蒪paṃdrū

　　赤　曷囉迦多　rakata

　　赤　路(引)呬(上)多　rohita

　　紅　矩素[□@薩]婆(上)　kusubha

　　白　室制多　ścata

　　黑　訖哩(二合)史拏(二合)又迦攞　kriṣṇa蒪kara

　　惡色　納羅嚩喇拏　durva

　　色　嚩囉拏　varaṇa

　　好色　素囉囉拏　suvaraṇa

　　綠　播(引)攞(引)舍　palaśa

　　紫　乳(而住反)耄羅婆　juburabha

　　影　車夜耶　chaya

　　填　地指多　dhicita

　　拭　本齒娜　pucchida

　　耕　賀囉　hara

　　種　嗢嚕比哆　urumita

　　畔　麼拏　maṇa

　　畝　紇麗怛囉亦田也　kṣatra

　　塗　禮跛　lema

　　錯問　薩吠賀吉底(二合)　savekti

　　麤　薩普攞　sphala

　　細　薩呬拏　ahiṇa

　　耳　羯㗚拏　karṇa

　　聽　室哩女(而住反)又室羅縛拏　śrīṇu蒪śrava

　　ṇa觀　嚩路迦耶　valokaya

　　聞　輸(上)曩　śuna

　　聲　施物駄(二合)　śavda

　　響　鉢羅底輸(上)多迦薩嚩羅　pratiśutakasvara

　　見　捺喇捨曩又嚩捨也　draśana蒪vaśaya

　　言　韈折娜　vacaṇa

　　語　嚩(無可反)拏　vaṇa

　　應　鉢羅底喻多　pratyuta

　　語　阿(引)攞波門(俓)答　

　　說　泥(去)賒哆又婆史多　deśata蒪bhaṣita

　　勅　阿吉孃　a

　　奏　尾吉孃波底　vipati

　　講　尾也企也曩　vyakhyana

　　論　嚩戍曩　vaśuna

　　一邊　翳咤迦(又云偏也)　eṭaka

　　聽許　阿拏日喏哆　aṇajijata

　　讚　戍怛羅　śutra

　　詠　薩哆嚩　stava

